epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1520.01,1.14711,0.67917,1.49021,0.95539,0.89577,0.96853,0.60164,1.39548,0.63166,1.7819,0.0061885,0.0061885,0.0061885
79,1539.6,1.13949,0.69334,1.48225,0.94345,0.94137,0.97057,0.6151,1.38199,0.63313,1.79564,0.006139,0.006139,0.006139
80,1559.66,1.12074,0.66454,1.45793,0.9295,0.93485,0.97136,0.61939,1.41695,0.62469,1.82375,0.0060895,0.0060895,0.0060895
81,1578.58,1.13608,0.67328,1.4774,0.92076,0.9463,0.97881,0.61332,1.40912,0.61397,1.81298,0.00604,0.00604,0.00604
82,1597.43,1.11937,0.66532,1.4614,0.94198,0.92182,0.96729,0.60472,1.42466,0.60356,1.83472,0.0059905,0.0059905,0.0059905
83,1616.63,1.12565,0.68014,1.47806,0.94979,0.92427,0.96999,0.6118,1.37661,0.62682,1.7872,0.005941,0.005941,0.005941
84,1635.54,1.13458,0.68289,1.47625,0.94104,0.93584,0.97248,0.61518,1.39145,0.58658,1.81406,0.0058915,0.0058915,0.0058915
85,1654.72,1.09736,0.64884,1.4385,0.94166,0.92834,0.97572,0.61816,1.36651,0.60385,1.78164,0.005842,0.005842,0.005842
86,1673.86,1.1055,0.65229,1.45049,0.95267,0.91857,0.97338,0.61729,1.4122,0.59779,1.81853,0.0057925,0.0057925,0.0057925
87,1693.03,1.10731,0.65182,1.44881,0.96022,0.92834,0.97508,0.61008,1.39724,0.59946,1.80189,0.005743,0.005743,0.005743
88,1711.99,1.09491,0.64268,1.43967,0.93519,0.93999,0.97563,0.63157,1.35943,0.61129,1.77361,0.0056935,0.0056935,0.0056935
89,1730.67,1.09789,0.64771,1.44457,0.95532,0.94137,0.98253,0.62386,1.39645,0.5725,1.79745,0.005644,0.005644,0.005644
90,1749.61,1.09217,0.63868,1.42279,0.95348,0.93477,0.97957,0.62863,1.37564,0.57929,1.77511,0.0055945,0.0055945,0.0055945
91,1768.71,1.08025,0.64825,1.43354,0.93963,0.94137,0.97472,0.62187,1.3866,0.57441,1.81408,0.005545,0.005545,0.005545
92,1787.49,1.09427,0.64581,1.4333,0.93427,0.92508,0.97254,0.6181,1.37906,0.58858,1.78137,0.0054955,0.0054955,0.0054955
93,1806.17,1.06939,0.63066,1.42224,0.93115,0.93811,0.96885,0.60061,1.39314,0.60398,1.80979,0.005446,0.005446,0.005446
94,1825.29,1.06685,0.62124,1.41223,0.95941,0.92401,0.9749,0.62527,1.36869,0.57947,1.76791,0.0053965,0.0053965,0.0053965
95,1844.41,1.0584,0.62524,1.41385,0.96608,0.92769,0.96551,0.6286,1.36142,0.54524,1.80038,0.005347,0.005347,0.005347
96,1863.6,1.06311,0.61653,1.4129,0.93624,0.93811,0.97701,0.61963,1.3919,0.56786,1.83087,0.0052975,0.0052975,0.0052975
97,1882.6,1.05103,0.61674,1.40431,0.96286,0.92889,0.9768,0.62719,1.33987,0.58576,1.74473,0.005248,0.005248,0.005248
98,1901.72,1.05239,0.62105,1.39941,0.94622,0.91699,0.97456,0.62984,1.36578,0.57208,1.8122,0.0051985,0.0051985,0.0051985
99,1920.47,1.0634,0.62249,1.41295,0.97338,0.94137,0.97945,0.61957,1.36887,0.55851,1.78096,0.005149,0.005149,0.005149
100,1939.62,1.04391,0.61852,1.39916,0.94935,0.91584,0.97219,0.63034,1.38177,0.58035,1.79777,0.0050995,0.0050995,0.0050995
101,1958.74,1.04979,0.61036,1.40722,0.94793,0.9487,0.98001,0.63518,1.363,0.56501,1.77958,0.00505,0.00505,0.00505
102,1977.4,1.03721,0.59572,1.38875,0.9655,0.92508,0.97784,0.62348,1.36378,0.58623,1.77075,0.0050005,0.0050005,0.0050005
103,1996.16,1.03532,0.59547,1.38952,0.92915,0.93979,0.96783,0.63173,1.36193,0.57529,1.76564,0.004951,0.004951,0.004951
104,2014.94,1.03057,0.58501,1.37581,0.94414,0.95114,0.97444,0.61934,1.38632,0.56607,1.80602,0.0049015,0.0049015,0.0049015
105,2033.79,1.03152,0.59256,1.3673,0.95217,0.94137,0.97594,0.62313,1.36001,0.56669,1.78039,0.004852,0.004852,0.004852
106,2052.67,1.02517,0.5906,1.37925,0.93098,0.93811,0.97585,0.6365,1.31658,0.58327,1.71881,0.0048025,0.0048025,0.0048025
107,2071.82,1.02672,0.58928,1.38524,0.95669,0.91531,0.97562,0.62988,1.34024,0.57155,1.75364,0.004753,0.004753,0.004753
108,2090.99,1.02104,0.58932,1.36797,0.96019,0.9428,0.9763,0.6397,1.34932,0.54562,1.78354,0.0047035,0.0047035,0.0047035
109,2109.99,1.02015,0.59239,1.38218,0.93167,0.95765,0.97259,0.63448,1.3295,0.54977,1.74874,0.004654,0.004654,0.004654
110,2128.78,0.99652,0.56723,1.35324,0.96305,0.93393,0.97905,0.63278,1.37112,0.56262,1.80121,0.0046045,0.0046045,0.0046045
111,2147.7,0.99797,0.5653,1.3521,0.96904,0.91748,0.97683,0.6271,1.37925,0.58825,1.80787,0.004555,0.004555,0.004555
112,2166.33,0.99559,0.57696,1.36219,0.95337,0.93228,0.97781,0.63289,1.35356,0.55066,1.79878,0.0045055,0.0045055,0.0045055
113,2184.9,0.99902,0.56458,1.35908,0.9724,0.91815,0.97673,0.63629,1.34012,0.54977,1.79015,0.004456,0.004456,0.004456
114,2203.77,0.99374,0.56339,1.3473,0.92807,0.95114,0.97511,0.63836,1.3412,0.57299,1.76329,0.0044065,0.0044065,0.0044065
115,2222.51,0.98025,0.56267,1.33298,0.96344,0.93811,0.9775,0.62902,1.36096,0.54411,1.80045,0.004357,0.004357,0.004357
116,2241.62,0.98509,0.56517,1.33642,0.97591,0.92367,0.97774,0.63987,1.34271,0.53824,1.77623,0.0043075,0.0043075,0.0043075
117,2260.3,0.98758,0.56439,1.3449,0.97496,0.94463,0.98266,0.65016,1.33504,0.52801,1.76928,0.004258,0.004258,0.004258
118,2278.85,0.9862,0.56231,1.35314,0.94648,0.94788,0.97997,0.64689,1.33443,0.54504,1.76546,0.0042085,0.0042085,0.0042085
119,2297.63,0.97153,0.56205,1.33137,0.9475,0.94788,0.98105,0.63913,1.36153,0.5397,1.79385,0.004159,0.004159,0.004159
120,2316.58,0.96283,0.54569,1.33352,0.96941,0.94137,0.98265,0.64076,1.33884,0.53383,1.77897,0.0041095,0.0041095,0.0041095
