epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1439.46,1.15083,0.68773,1.53752,0.94398,0.93312,0.96856,0.6068,1.41731,0.60904,1.88127,0.0061885,0.0061885,0.0061885
79,1457.59,1.15012,0.6926,1.54666,0.94734,0.9316,0.97293,0.6108,1.4053,0.59678,1.8931,0.006139,0.006139,0.006139
80,1475.9,1.12439,0.67606,1.50924,0.92321,0.93989,0.96927,0.61393,1.37474,0.61987,1.83981,0.0060895,0.0060895,0.0060895
81,1494.07,1.14714,0.68363,1.5397,0.93786,0.9316,0.96571,0.62128,1.39607,0.62229,1.89148,0.00604,0.00604,0.00604
82,1512.34,1.12751,0.66829,1.52297,0.95148,0.91205,0.97258,0.60865,1.3942,0.62073,1.86521,0.0059905,0.0059905,0.0059905
83,1530.45,1.13365,0.67997,1.53058,0.91497,0.94641,0.97023,0.59814,1.41598,0.64414,1.87745,0.005941,0.005941,0.005941
84,1548.79,1.12541,0.67929,1.51471,0.91197,0.94463,0.96733,0.61421,1.39376,0.59835,1.8989,0.0058915,0.0058915,0.0058915
85,1566.96,1.09703,0.65166,1.48716,0.95099,0.94799,0.97803,0.63238,1.36443,0.57786,1.82946,0.005842,0.005842,0.005842
86,1585.22,1.11097,0.65379,1.50646,0.91862,0.96743,0.97384,0.62,1.35672,0.58064,1.83193,0.0057925,0.0057925,0.0057925
87,1603.72,1.10664,0.64613,1.49803,0.93688,0.91865,0.97159,0.62147,1.38989,0.59494,1.84542,0.005743,0.005743,0.005743
88,1622.03,1.09923,0.64212,1.48623,0.94591,0.91146,0.96794,0.62033,1.3685,0.58733,1.83479,0.0056935,0.0056935,0.0056935
89,1640.47,1.10239,0.64924,1.50377,0.94977,0.92383,0.98033,0.61026,1.40293,0.59106,1.87689,0.005644,0.005644,0.005644
90,1659.19,1.09888,0.64946,1.47723,0.95547,0.90849,0.97251,0.62488,1.39238,0.59674,1.85563,0.0055945,0.0055945,0.0055945
91,1677.62,1.09049,0.6555,1.48092,0.94711,0.93485,0.97631,0.63039,1.37863,0.58392,1.84334,0.005545,0.005545,0.005545
92,1696.15,1.09396,0.64497,1.4802,0.95587,0.91729,0.97555,0.63064,1.36546,0.59177,1.8123,0.0054955,0.0054955,0.0054955
93,1714.62,1.08207,0.63793,1.4732,0.93877,0.92834,0.9761,0.62916,1.3875,0.56507,1.87498,0.005446,0.005446,0.005446
94,1733.29,1.06381,0.61918,1.456,0.94205,0.95306,0.97295,0.61062,1.42387,0.5933,1.91361,0.0053965,0.0053965,0.0053965
95,1752.16,1.0751,0.63655,1.47245,0.95335,0.93205,0.97253,0.61767,1.39746,0.59658,1.88044,0.005347,0.005347,0.005347
96,1770.83,1.07295,0.62501,1.4665,0.94188,0.9316,0.97613,0.61333,1.38405,0.5648,1.84863,0.0052975,0.0052975,0.0052975
97,1789.19,1.04299,0.60425,1.44999,0.96543,0.93485,0.97377,0.63075,1.37546,0.5714,1.84153,0.005248,0.005248,0.005248
98,1807.78,1.05278,0.61709,1.44891,0.96351,0.9316,0.97011,0.61442,1.37712,0.59076,1.84585,0.0051985,0.0051985,0.0051985
99,1826.23,1.07162,0.62195,1.46778,0.95929,0.91205,0.9738,0.62788,1.3611,0.60551,1.80638,0.005149,0.005149,0.005149
100,1844.8,1.05342,0.61251,1.4542,0.94334,0.93811,0.98108,0.62451,1.35905,0.55428,1.85749,0.0050995,0.0050995,0.0050995
101,1863.31,1.06199,0.61359,1.46327,0.94668,0.92538,0.97369,0.62559,1.35352,0.57086,1.82013,0.00505,0.00505,0.00505
102,1881.8,1.05704,0.60054,1.44161,0.93038,0.95771,0.97655,0.62874,1.37115,0.54983,1.83265,0.0050005,0.0050005,0.0050005
103,1900.34,1.04809,0.59755,1.43731,0.93465,0.93172,0.97518,0.63348,1.3856,0.58196,1.86118,0.004951,0.004951,0.004951
104,1918.86,1.03412,0.59593,1.41916,0.92189,0.96114,0.97595,0.62717,1.36421,0.57774,1.82578,0.0049015,0.0049015,0.0049015
105,1937.31,1.04179,0.59826,1.42108,0.92438,0.95556,0.97759,0.62472,1.35799,0.55332,1.83201,0.004852,0.004852,0.004852
106,1955.8,1.02759,0.58926,1.42394,0.91326,0.96417,0.98136,0.63494,1.35873,0.55463,1.83501,0.0048025,0.0048025,0.0048025
107,1974.15,1.03837,0.59697,1.44247,0.94497,0.95097,0.97706,0.63456,1.36822,0.54302,1.83545,0.004753,0.004753,0.004753
108,1992.67,1.02622,0.60002,1.42473,0.95106,0.94945,0.97817,0.64533,1.3462,0.55412,1.80463,0.0047035,0.0047035,0.0047035
109,2011.18,1.02551,0.59161,1.43174,0.95151,0.96417,0.98431,0.64558,1.3532,0.52619,1.80899,0.004654,0.004654,0.004654
110,2029.83,1.01271,0.57878,1.41274,0.96156,0.92834,0.98106,0.62567,1.38387,0.54647,1.87805,0.0046045,0.0046045,0.0046045
111,2048.39,1.00243,0.57332,1.40086,0.97514,0.92834,0.98223,0.644,1.35274,0.5445,1.83653,0.004555,0.004555,0.004555
112,2066.8,1.00345,0.58041,1.41334,0.93077,0.96343,0.98356,0.64118,1.36238,0.52798,1.85574,0.0045055,0.0045055,0.0045055
113,2085.03,1.01364,0.57721,1.41816,0.95988,0.9316,0.98479,0.63261,1.35754,0.53511,1.83478,0.004456,0.004456,0.004456
114,2103.76,1.00361,0.573,1.39648,0.96024,0.94392,0.981,0.64123,1.36863,0.5333,1.82395,0.0044065,0.0044065,0.0044065
115,2122.26,0.99341,0.56725,1.38803,0.94764,0.94463,0.9825,0.62895,1.37281,0.54081,1.86055,0.004357,0.004357,0.004357
116,2140.81,0.99163,0.57414,1.38484,0.93919,0.95581,0.98425,0.63428,1.38031,0.52759,1.8499,0.0043075,0.0043075,0.0043075
117,2159.26,0.98917,0.56702,1.39746,0.95926,0.95765,0.98286,0.64796,1.34201,0.53618,1.80841,0.004258,0.004258,0.004258
118,2177.58,0.99476,0.56568,1.39833,0.93677,0.96515,0.97851,0.64468,1.34556,0.55202,1.8162,0.0042085,0.0042085,0.0042085
119,2195.8,0.99063,0.56455,1.38013,0.96096,0.9544,0.97914,0.63776,1.34913,0.54138,1.81857,0.004159,0.004159,0.004159
120,2213.98,0.98211,0.55726,1.3819,0.95405,0.96417,0.97757,0.65108,1.34152,0.53563,1.80517,0.0041095,0.0041095,0.0041095
121,2232.31,0.98779,0.55417,1.38126,0.97039,0.94137,0.9836,0.64626,1.35021,0.52653,1.80552,0.00406,0.00406,0.00406
122,2250.67,0.97076,0.55796,1.37491,0.9697,0.9381,0.98121,0.65294,1.32481,0.53267,1.7886,0.0040105,0.0040105,0.0040105
123,2269.21,0.9613,0.54762,1.3637,0.97317,0.94526,0.98386,0.64772,1.34564,0.51843,1.83267,0.003961,0.003961,0.003961
124,2287.53,0.96838,0.54384,1.36905,0.97683,0.94137,0.98576,0.65049,1.34042,0.52322,1.82529,0.0039115,0.0039115,0.0039115
125,2305.78,0.96304,0.5423,1.35336,0.96702,0.95521,0.98131,0.64588,1.34314,0.51262,1.82288,0.003862,0.003862,0.003862
126,2324.16,0.94778,0.53705,1.34839,0.96669,0.9544,0.98087,0.63867,1.35822,0.52831,1.84857,0.0038125,0.0038125,0.0038125
127,2342.47,0.95265,0.54008,1.35488,0.95452,0.95702,0.98172,0.643,1.32816,0.52341,1.8197,0.003763,0.003763,0.003763
128,2360.87,0.9696,0.54231,1.35994,0.95445,0.95546,0.98183,0.65231,1.33264,0.51146,1.80888,0.0037135,0.0037135,0.0037135
129,2379.48,0.94281,0.53644,1.34469,0.97313,0.94463,0.98714,0.65251,1.32796,0.53318,1.82898,0.003664,0.003664,0.003664
130,2397.85,0.94129,0.53623,1.34208,0.95429,0.95203,0.98236,0.64705,1.35329,0.54509,1.84211,0.0036145,0.0036145,0.0036145
131,2416.3,0.94683,0.52321,1.34192,0.96848,0.94788,0.98342,0.65007,1.33387,0.53173,1.81119,0.003565,0.003565,0.003565
132,2434.82,0.94353,0.52204,1.3427,0.97845,0.94788,0.98469,0.64317,1.35556,0.5158,1.83125,0.0035155,0.0035155,0.0035155
133,2453.23,0.93645,0.52133,1.33198,0.96994,0.94585,0.98267,0.63968,1.36505,0.51079,1.83374,0.003466,0.003466,0.003466
134,2471.79,0.93951,0.53253,1.33932,0.97034,0.95765,0.98459,0.64232,1.35534,0.50407,1.84225,0.0034165,0.0034165,0.0034165
135,2490.26,0.92056,0.51841,1.32943,0.98257,0.94463,0.98404,0.65328,1.32209,0.51949,1.81241,0.003367,0.003367,0.003367
136,2508.77,0.92714,0.52226,1.32389,0.9799,0.95271,0.98579,0.65215,1.34479,0.51867,1.83308,0.0033175,0.0033175,0.0033175
137,2527.35,0.91858,0.51755,1.32858,0.9735,0.9572,0.98475,0.65518,1.33632,0.51204,1.83353,0.003268,0.003268,0.003268
138,2545.92,0.92039,0.5035,1.32158,0.95471,0.96128,0.98605,0.65316,1.34331,0.51031,1.81667,0.0032185,0.0032185,0.0032185
139,2564.53,0.92128,0.51286,1.31891,0.95433,0.95283,0.98162,0.64923,1.34159,0.51807,1.81547,0.003169,0.003169,0.003169
140,2583.1,0.91878,0.51254,1.31829,0.97615,0.93337,0.9817,0.65396,1.31504,0.51403,1.79907,0.0031195,0.0031195,0.0031195
141,2601.62,0.89528,0.50985,1.29874,0.96006,0.9544,0.98147,0.64898,1.33519,0.51895,1.83563,0.00307,0.00307,0.00307
